model_id,feature,importance
ET003,DebtRatio_high_flag,0.0014389071575275486
ET003,MonthlyIncome_median,0.001086278216280378
ET003,NumberOfDependents_missing_flag,0.0002494696010386872
ET004,RevolvingUtilization_log,0.3632163987080784
ET004,RevolvingUtilization_capped,0.3522738527567417
ET004,NumberOfTime30-59DaysPastDueNotWorse,0.0619768830634705
ET004,NumberOfTimes90DaysLate,0.05397959306250159
ET004,age,0.043440151838594704
ET004,NumberOfTime60-89DaysPastDueNotWorse,0.041675337646581836
ET004,age_sq,0.035363524061969805
ET004,DebtRatio_log,0.011037277167460242
ET004,NumberOfOpenCreditLinesAndLoans,0.009578939002253603
ET004,DebtRatio_capped,0.007304292542561178
ET004,NumberOfDependents_median,0.00505209974864382
ET004,NumberRealEstateLoansOrLines,0.0048112687162901865
ET004,MonthlyIncome_missing_flag,0.0035682651769961523
ET004,DebtRatio_high_flag,0.0026795377693320643
ET004,NumberOfDependents_missing_flag,0.00217417045918637
ET004,RevolvingUtilization_high_flag,0.0011136016889287223
ET004,MonthlyIncome_median,0.0007548065904089552
ET005,RevolvingUtilization_log,0.3919549551675719
ET005,RevolvingUtilization_capped,0.3207642917687254
ET005,NumberOfTime30-59DaysPastDueNotWorse,0.09530055455325583
ET005,NumberOfTime60-89DaysPastDueNotWorse,0.05991474947441144
ET005,NumberOfTimes90DaysLate,0.058701124103353146
ET005,age,0.03232446438964043
ET005,age_sq,0.021308410125790586
ET005,NumberOfOpenCreditLinesAndLoans,0.003799688196692032
ET005,DebtRatio_log,0.0036107619616529544
ET005,MonthlyIncome_missing_flag,0.003181396690927793
ET005,DebtRatio_capped,0.002587217906056925
ET005,NumberRealEstateLoansOrLines,0.002460620777141991
ET005,NumberOfDependents_median,0.0015707100620114193
ET005,DebtRatio_high_flag,0.0014568954825864404
ET005,RevolvingUtilization_high_flag,0.0006240650585853369
ET005,MonthlyIncome_median,0.00033959183132721766
ET005,NumberOfDependents_missing_flag,0.00010050245026919588
XGB001,NumberOfTimes90DaysLate,0.2960560917854309
XGB001,RevolvingUtilization_log,0.18119391798973083
XGB001,RevolvingUtilization_capped,0.1491432934999466
XGB001,NumberOfTime60-89DaysPastDueNotWorse,0.14088909327983856
XGB001,NumberOfTime30-59DaysPastDueNotWorse,0.1080014631152153
XGB001,DebtRatio_high_flag,0.02047107368707657
XGB001,NumberRealEstateLoansOrLines,0.017539361491799355
XGB001,age,0.017030030488967896
XGB001,DebtRatio_capped,0.01170573104172945
XGB001,NumberOfOpenCreditLinesAndLoans,0.011350993067026138
XGB001,age_sq,0.010703685693442822
XGB001,DebtRatio_log,0.009916017763316631
XGB001,MonthlyIncome_missing_flag,0.009632127359509468
XGB001,MonthlyIncome_median,0.009426824748516083
XGB001,NumberOfDependents_median,0.0069403271190822124
XGB001,NumberOfDependents_missing_flag,0.0
XGB001,RevolvingUtilization_high_flag,0.0
XGB002,NumberOfTimes90DaysLate,0.2679782211780548
XGB002,RevolvingUtilization_log,0.2198343575000763
XGB002,RevolvingUtilization_capped,0.15465044975280762
XGB002,NumberOfTime60-89DaysPastDueNotWorse,0.12237265706062317
XGB002,NumberOfTime30-59DaysPastDueNotWorse,0.10327472537755966
XGB002,DebtRatio_high_flag,0.02273685857653618
XGB002,NumberRealEstateLoansOrLines,0.017454035580158234
XGB002,age,0.017305118963122368
XGB002,age_sq,0.01330456044524908
XGB002,MonthlyIncome_missing_flag,0.01154499314725399
XGB002,NumberOfOpenCreditLinesAndLoans,0.011341998353600502
XGB002,DebtRatio_capped,0.010546250268816948
XGB002,DebtRatio_log,0.009845822118222713
XGB002,MonthlyIncome_median,0.009546157903969288
XGB002,NumberOfDependents_median,0.007219098974019289
XGB002,NumberOfDependents_missing_flag,0.0010447022505104542
XGB002,RevolvingUtilization_high_flag,0.0
XGB003,NumberOfTimes90DaysLate,0.2522955536842346
XGB003,RevolvingUtilization_log,0.22420935332775116
XGB003,RevolvingUtilization_capped,0.16422583162784576
XGB003,NumberOfTime30-59DaysPastDueNotWorse,0.12576252222061157
XGB003,NumberOfTime60-89DaysPastDueNotWorse,0.11770771443843842
