table_name,model_id,split,bucket,total,bad,good,bad_rate,cum_bad,cum_total,cum_bad_pct,cum_total_pct,lift
lift,BLOG003,validation,"(0.145, 0.869]",4308,1550,2758,0.3597957288765088,1550,4308,0.5161505161505161,0.0961242385701854,5.369618774911253
lift,BLOG003,validation,"(0.0874, 0.145]",1287,205,1082,0.1592851592851593,1755,5595,0.5844155844155844,0.1248410201486043,4.681278507015772
lift,BLOG003,validation,"(0.0633, 0.0874]",5410,499,4911,0.0922365988909427,2254,11005,0.7505827505827506,0.2455541424013209,3.056689425976114
lift,BLOG003,validation,"(0.0388, 0.0633]",4635,284,4351,0.0612729234088457,2538,15640,0.8451548451548452,0.3489747194145078,2.4218225508506843
lift,BLOG003,validation,"(0.0256, 0.0388]",4340,140,4200,0.032258064516129,2678,19980,0.8917748917748918,0.4458129727558739,2.0003341003341
lift,BLOG003,validation,"(0.0218, 0.0256]",4699,99,4600,0.021068312406895,2777,24679,0.9247419247419248,0.550661579311422,1.6793289372000015
lift,BLOG003,validation,"(0.0179, 0.0218]",2747,41,2706,0.0149253731343283,2818,27426,0.9383949383949384,0.6119552848249549,1.5334371018028858
lift,BLOG003,validation,"(0.011, 0.0179]",17391,185,17206,0.0106376861595077,3003,44817,1.0,1.0,1.0
lift,BLOG004,train,"(0.16, 0.911]",8755,3444,5311,0.3933752141633352,3444,8755,0.4915786468741079,0.0837214194868656,5.8715995247933845
lift,BLOG004,train,"(0.082, 0.16]",5587,819,4768,0.1465902989081797,4263,14342,0.6084784470453897,0.137148212253641,4.43664876885215
lift,BLOG004,train,"(0.0606, 0.082]",11847,989,10858,0.0834810500548662,5252,26189,0.7496431630031402,0.2504374934256452,2.9933343955373393
lift,BLOG004,train,"(0.0378, 0.0606]",9435,611,8824,0.0647588765235824,5863,35624,0.8368541250356837,0.3406615474357626,2.456555872932757
lift,BLOG004,train,"(0.0251, 0.0378]",10386,393,9993,0.0378393991912189,6256,46010,0.8929489009420497,0.4399797270806039,2.0295228302154524
lift,BLOG004,train,"(0.0211, 0.0251]",12194,264,11930,0.0216499917992455,6520,58204,0.9306308878104482,0.5565872643990323,1.6720305104632327
lift,BLOG004,train,"(0.0177, 0.0211]",6429,98,6331,0.0152434282158967,6618,64633,0.9446188980873536,0.6180658487372458,1.5283466964196126
lift,BLOG004,train,"(0.0109, 0.0177]",39940,388,39552,0.0097145718577866,7006,104573,1.0,1.0,1.0
lift,BLOG004,validation,"(0.16, 0.911]",3745,1475,2270,0.3938584779706275,1475,3745,0.4911754911754912,0.0835620411897271,5.87797382857463
lift,BLOG004,validation,"(0.082, 0.16]",2407,400,2007,0.1661819692563357,1875,6152,0.6243756243756243,0.1372693397594662,4.548543946300772
lift,BLOG004,validation,"(0.0606, 0.082]",5210,437,4773,0.0838771593090211,2312,11362,0.7698967698967699,0.2535198696923043,3.036830094742434
lift,BLOG004,validation,"(0.0378, 0.0606]",3963,220,3743,0.0555134998738329,2532,15325,0.8431568431568431,0.341946136510699,2.4657592326107824
lift,BLOG004,validation,"(0.0251, 0.0378]",4369,156,4213,0.0357061112382696,2688,19694,0.8951048951048951,0.4394314657384475,2.03696131227359
lift,BLOG004,validation,"(0.0211, 0.0251]",5210,111,5099,0.0213051823416506,2799,24904,0.932067932067932,0.5556819956712854,1.677340528087396
lift,BLOG004,validation,"(0.0177, 0.0211]",2706,37,2669,0.0136733185513673,2836,27610,0.9443889443889444,0.6160608697592431,1.532947458191935
lift,BLOG004,validation,"(0.0109, 0.0177]",17207,167,17040,0.0097053524728308,3003,44817,1.0,1.0,1.0
lift,BLOG005,train,"(0.146, 0.92]",10348,3701,6647,0.3576536528797835,3701,10348,0.5282614901512989,0.0989547971273655,5.338412138538053
lift,BLOG005,train,"(0.0783, 0.146]",10493,1173,9320,0.1117888115886781,4874,20841,0.6956894090779332,0.1992961854398363,3.4907311825491436
lift,BLOG005,train,"(0.0548, 0.0783]",10465,741,9724,0.070807453416149,5615,31306,0.8014558949471882,0.2993698182131142,2.6771432729289053
lift,BLOG005,train,"(0.0374, 0.0548]",9118,437,8681,0.0479271770125027,6052,40424,0.8638310019982872,0.3865624970116569,2.23464771848325
lift,BLOG005,train,"(0.0263, 0.0374]",10724,339,10385,0.0316113390525923,6391,51148,0.9122180987724808,0.4891128685224675,1.8650462040145193
lift,BLOG005,train,"(0.0209, 0.0263]",10293,206,10087,0.0200136014767317,6597,61441,0.9416214673137312,0.587541717269276,1.602646143477463
lift,BLOG005,train,"(0.0161, 0.0209]",11008,153,10855,0.0138989825581395,6750,72449,0.963459891521553,0.6928078949633271,1.3906595154672026
lift,BLOG005,train,"(0.0132, 0.0161]",8762,91,8671,0.0103857566765578,6841,81211,0.976448758207251,0.7765962533349908,1.2573441527872684
lift,BLOG005,train,"(0.00925, 0.0132]",11283,97,11186,0.0085970043428166,6938,92494,0.9902940336854124,0.8844921729318276,1.119618764293734
lift,BLOG005,train,"(0.008029999999999999, 0.00925]",12079,68,12011,0.0056296050997599,7006,104573,1.0,1.0,1.0
lift,BLOG005,validation,"(0.146, 0.92]",4439,1612,2827,0.3631448524442442,1612,4439,0.5367965367965368,0.0990472365397059,5.419601349315249
lift,BLOG005,validation,"(0.0783, 0.146]",4474,538,3936,0.1202503352704515,2150,8913,0.7159507159507159,0.1988754267353905,3.5999958753240477
lift,BLOG005,validation,"(0.056, 0.0783]",3967,254,3713,0.0640282329216032,2404,12880,0.8005328005328005,0.2873909454001829,2.7855185187483325
lift,BLOG005,validation,"(0.0374, 0.056]",4497,202,4295,0.0449188347787413,2606,17377,0.8677988677988678,0.3877323337126537,2.2381390261922
lift,BLOG005,validation,"(0.0263, 0.0374]",4536,137,4399,0.0302028218694885,2743,21913,0.9134199134199136,0.4889439275275007,1.8681485994496536
lift,BLOG005,validation,"(0.0209, 0.0263]",4325,83,4242,0.0191907514450867,2826,26238,0.9410589410589412,0.5854474864448759,1.6074181935146947
lift,BLOG005,validation,"(0.0161, 0.0209]",4744,63,4681,0.0132799325463743,2889,30982,0.962037962037962,0.6913001762723966,1.391635638262712
lift,BLOG005,validation,"(0.0132, 0.0161]",3712,40,3672,0.0107758620689655,2929,34694,0.9753579753579752,0.7741258897293438,1.259947494714313
lift,BLOG005,validation,"(0.00925, 0.0132]",4848,41,4807,0.0084570957095709,2970,39542,0.989010989010989,0.8822991275632015,1.1209474860782331
lift,BLOG005,validation,"(0.008029999999999999, 0.00925]",5275,33,5242,0.0062559241706161,3003,44817,1.0,1.0,1.0
