table_name,model_id,split,predicted_prob,actual_rate,bin,count
calibration,BLOG002,train,0.049786465210619,0.0481298386344557,4,
calibration,BLOG002,train,0.0852651824798259,0.0874058127018299,5,
calibration,BLOG002,train,0.1173740954573972,0.1249641731155058,6,
calibration,BLOG002,train,0.3974071956562181,0.3993035403366222,7,
calibration,BLOG002,validation,0.0133531493778676,0.0117288924702301,1,
calibration,BLOG002,validation,0.0206886082839055,0.0183857086973529,2,
calibration,BLOG002,validation,0.0294210150329248,0.0272566371681415,3,
calibration,BLOG002,validation,0.0497864652106179,0.0500220361392684,4,
calibration,BLOG002,validation,0.0857111236245865,0.0806852035749751,5,
calibration,BLOG002,validation,0.1176015690056913,0.1254624957954927,6,
calibration,BLOG002,validation,0.3957871468316678,0.4017379679144385,7,
calibration,BLOG003,train,0.0119841202090864,0.0086679787278589,1,
calibration,BLOG003,train,0.0179221596504805,0.0135488182757154,2,
calibration,BLOG003,train,0.0218008823492825,0.0168711656441717,3,
calibration,BLOG003,train,0.0256193382592694,0.0212320029159832,4,
calibration,BLOG003,train,0.0371659592149024,0.0378435927216415,5,
calibration,BLOG003,train,0.0582993630245498,0.0663404023926046,6,
calibration,BLOG003,train,0.0867286221334773,0.094060606060606,7,
calibration,BLOG003,train,0.1330498392714505,0.1408211740753308,8,
calibration,BLOG003,train,0.3491095006635707,0.351308327529599,9,
calibration,BLOG003,validation,0.0119841202090789,0.0089277143131419,1,
calibration,BLOG003,validation,0.0179221596504789,0.0131918554631488,2,
calibration,BLOG003,validation,0.0218008823492828,0.0149253731343283,3,
calibration,BLOG003,validation,0.0256193382592622,0.021068312406895,4,
calibration,BLOG003,validation,0.0371847497732302,0.032258064516129,5,
calibration,BLOG003,validation,0.0583635976978171,0.0612729234088457,6,
calibration,BLOG003,validation,0.0867716802607523,0.0922365988909427,7,
calibration,BLOG003,validation,0.1327732180500703,0.1592851592851593,8,
calibration,BLOG003,validation,0.3513013901312474,0.3597957288765088,9,
calibration,BLOG004,train,0.011863674729206,0.0081135902636916,1,
calibration,BLOG004,train,0.0177327175179904,0.0120422708282133,2,
calibration,BLOG004,train,0.0211442533053622,0.0152434282158967,3,
calibration,BLOG004,train,0.0251151086314822,0.0216499917992455,4,
calibration,BLOG004,train,0.037515413566653,0.0378393991912189,5,
calibration,BLOG004,train,0.0575947177828697,0.0647588765235824,6,
calibration,BLOG004,train,0.0804590743507146,0.0834810500548662,7,
calibration,BLOG004,train,0.1328770959302559,0.1465902989081797,8,
calibration,BLOG004,train,0.3844461468135847,0.3933752141633352,9,
calibration,BLOG004,validation,0.0118636747292092,0.008334948633456,1,
calibration,BLOG004,validation,0.0177327175179876,0.0117578748729859,2,
calibration,BLOG004,validation,0.0211442533053605,0.0136733185513673,3,
calibration,BLOG004,validation,0.0251155602913346,0.0213051823416506,4,
calibration,BLOG004,validation,0.0374897235107917,0.0357061112382696,5,
calibration,BLOG004,validation,0.0575687834974851,0.0555134998738329,6,
calibration,BLOG004,validation,0.0805669010251521,0.0838771593090211,7,
calibration,BLOG004,validation,0.1323712494799183,0.1661819692563357,8,
calibration,BLOG004,validation,0.3883774573773743,0.3938584779706275,9,
calibration,BLOG005,train,0.0091400070298781,0.0056296050997599,1,
calibration,BLOG005,train,0.013043610788594,0.0085970043428166,2,
calibration,BLOG005,train,0.0152647728724883,0.0103857566765578,3,
calibration,BLOG005,train,0.0190861551496379,0.0138989825581395,4,
calibration,BLOG005,train,0.0241124909310912,0.0200136014767317,5,
calibration,BLOG005,train,0.0310170167007362,0.0316113390525923,6,
calibration,BLOG005,train,0.0452183413278066,0.0479271770125027,7,
calibration,BLOG005,train,0.067252846476064,0.070807453416149,8,
calibration,BLOG005,train,0.1013539270139822,0.1117888115886781,9,
calibration,BLOG005,train,0.3521599798756456,0.3576536528797835,10,
calibration,BLOG005,validation,0.00913951538402,0.0062559241706161,1,
calibration,BLOG005,validation,0.013048693813851,0.0084570957095709,2,
calibration,BLOG005,validation,0.0152594657793213,0.0107758620689655,3,
calibration,BLOG005,validation,0.0190852589565053,0.0132799325463743,4,
calibration,BLOG005,validation,0.0240738608370023,0.0191907514450867,5,
calibration,BLOG005,validation,0.0310660650747785,0.0302028218694885,6,
calibration,BLOG005,validation,0.0468027395881862,0.0449188347787413,7,
calibration,BLOG005,validation,0.0688948696354394,0.0640282329216032,8,
calibration,BLOG005,validation,0.1013263790340602,0.1202503352704515,9,
calibration,BLOG005,validation,0.3541190612746728,0.3631448524442442,10,
calibration,RLOG001,train,0.0118508958831592,0.0090839548670873,1,
calibration,RLOG001,train,0.0164024027200689,0.0126231232667112,2,
calibration,RLOG001,train,0.0198946864662442,0.0157789040833891,3,
calibration,RLOG001,train,0.0233095462734417,0.0190303146217844,4,
calibration,RLOG001,train,0.0279523397171784,0.0269650028686173,5,
calibration,RLOG001,train,0.0362842336545358,0.0370087023046762,6,
calibration,RLOG001,train,0.0527752224771986,0.0528832361097829,7,
calibration,RLOG001,train,0.0872555699943737,0.0847279334417136,8,
calibration,RLOG001,train,0.1497628816429459,0.1417232475853495,9,
calibration,RLOG001,train,0.2540288449496909,0.2701281315739147,10,
calibration,RLOG001,validation,0.0118280282025755,0.0100401606425702,1,
calibration,RLOG001,validation,0.0163319892476282,0.0120481927710843,2,
calibration,RLOG001,validation,0.0198112100308084,0.0131667038607453,3,
calibration,RLOG001,validation,0.023250282458137,0.0171798304328424,4,
calibration,RLOG001,validation,0.0279402095048752,0.0283355644801427,5,
calibration,RLOG001,validation,0.036456152420625,0.0381611247489399,6,
calibration,RLOG001,validation,0.0529591693165297,0.0553324408746095,7,
calibration,RLOG001,validation,0.0879340221386512,0.0827940191921446,8,
calibration,RLOG001,validation,0.1501895294119201,0.1390004462293619,9,
calibration,RLOG001,validation,0.2538451043138925,0.2739848282016957,10,
calibration,RLOG002,train,0.0098886570669767,0.0109007458405048,1,
calibration,RLOG002,train,0.0143022172028221,0.0124318638232762,2,
