model_id,split,top_population_pct,top_bucket_bad_rate,top_bucket_default_capture,top_bucket_avg_pd,row_count
BNB003,train,0.2,0.23596633833795544,0.7043962318013132,0.5041989297535298,20914
BNB003,validation,0.05,0.4732142857142857,0.35298035298035296,0.9873601034594368,2240
BNB003,validation,0.1,0.3624191028788217,0.5407925407925408,0.8440999869926995,4481
BNB003,validation,0.2,0.2384246346089479,0.7116217116217116,0.504888940920896,8963
BNB004,train,0.05,0.46958684009181334,0.3504139309163574,0.998989544682024,5228
BNB004,train,0.1,0.3573682700583341,0.5333999429060805,0.9822402628502928,10457
BNB004,train,0.2,0.23596633833795544,0.7043962318013132,0.8371924971921434,20914
BNB004,validation,0.05,0.4732142857142857,0.35298035298035296,0.9990607285840429,2240
BNB004,validation,0.1,0.3624191028788217,0.5407925407925408,0.9823598624524645,4481
BNB004,validation,0.2,0.2384246346089479,0.7116217116217116,0.8367586649472009,8963
BNB005,train,0.05,0.46958684009181334,0.3504139309163574,0.9864440461353915,5228
BNB005,train,0.1,0.35746389978005166,0.5335426777048244,0.8430765950467848,10457
BNB005,train,0.2,0.23596633833795544,0.7043962318013132,0.5041917417147056,20914
BNB005,validation,0.05,0.47276785714285713,0.35264735264735264,0.9873591790611016,2240
BNB005,validation,0.1,0.3624191028788217,0.5407925407925408,0.8440934052192006,4481
BNB005,validation,0.2,0.2384246346089479,0.7116217116217116,0.5048819035760194,8963
BNB006,train,0.05,0.46958684009181334,0.3504139309163574,0.9989894650966004,5228
BNB006,train,0.1,0.35746389978005166,0.5335426777048244,0.9822391866174331,10457
BNB006,train,0.2,0.23596633833795544,0.7043962318013132,0.8371853031015584,20914
BNB006,validation,0.05,0.47276785714285713,0.35264735264735264,0.9990606573342012,2240
BNB006,validation,0.1,0.3624191028788217,0.5407925407925408,0.9823587999152898,4481
BNB006,validation,0.2,0.2384246346089479,0.7116217116217116,0.8367518080450841,8963
BNB007,train,0.05,0.46958684009181334,0.3504139309163574,0.9864409578936884,5228
BNB007,train,0.1,0.35746389978005166,0.5335426777048244,0.8430565861356266,10457
