model_id,split,mean_abs_calibration_error,max_abs_calibration_error,mean_squared_calibration_error
RF004,validation,0.010571079822413622,0.05213625007729411,0.00032076205404687336
RF005,train,0.2627787251918803,0.5005855532836033,0.09374446901742475
RF005,validation,0.2629476362761792,0.49571439231650855,0.09397435180670596
RFSTACK001,train,0.004833489271722922,0.011624401457222377,3.400095587091122e-05
RFSTACK001,validation,0.004114206415351011,0.012564214874803803,3.08349447134631e-05
RIDGESTACK001,train,0.009487334799504232,0.018775180451246404,0.0001179803018803437
RIDGESTACK001,validation,0.00973394293114863,0.0278266750823202,0.0001454889707504707
RLOG001,train,0.004342761086970809,0.016099286624223774,3.889134518782638e-05
RLOG001,validation,0.005972903111043708,0.020139723887803163,6.684665778184108e-05
RLOG002,train,0.004930311988847398,0.014711838162742685,4.237981544991687e-05
RLOG002,validation,0.00554570317050229,0.014594407661199016,4.838206493830442e-05
RLOG003,train,0.004713583541559119,0.013589531989849801,3.81105423316451e-05
RLOG003,validation,0.005778681414665688,0.016305576505757202,5.2913029034629396e-05
RLOG004,train,0.004637497728522139,0.01303849845622701,3.6173046726947867e-05
RLOG004,validation,0.005806420314997999,0.016693793965619,5.404390840185835e-05
RLOG005,train,0.005374511617760978,0.013290120493695101,4.4090184818931094e-05
RLOG005,validation,0.006742600496811591,0.018387948890572325,8.453847109567932e-05
RLOG006,train,0.004784536664471929,0.014475633261754495,3.900745128885508e-05
RLOG006,validation,0.005977931596022768,0.017455280014782,6.120854474986748e-05
RLOG007,train,0.004768504468665291,0.013632917550954998,3.8062402453848245e-05
RLOG007,validation,0.005658157781512233,0.01623264796763821,5.139409574646661e-05
RLOG008,train,0.004600841034357074,0.012950501083615396,3.583653270703964e-05
RLOG008,validation,0.005851716460543431,0.016925247772833607,5.5657277377935303e-05
T001,train,2.0274291504899604e-14,3.929842562477859e-14,6.662644904724353e-28
T001,validation,0.002092517693346027,0.005866092393834177,1.1499873217296575e-05
T002,train,8.13816606696586e-15,1.9817480989559044e-14,1.1486584028536552e-28
T002,validation,0.004139035488573938,0.010718952504257306,2.89652252350598e-05
T003,train,7.223140736328e-15,2.0372592501871623e-14,8.947391145622878e-29
T003,validation,0.005271684441964997,0.012469401027940696,4.895520676034705e-05
T004,train,6.9886226435518966e-15,1.6708856520608606e-14,8.601158995738836e-29
T004,validation,0.0051499764923679464,0.0159244771291778,5.348168817769611e-05
T005,train,6.555520015716354e-15,1.4904744105592727e-14,7.212013569723469e-29
T005,validation,0.0040163851242966744,0.010507980299290107,2.9220046942477373e-05
T006,train,0.3832435464118317,0.550971432533799,0.16854499143277116
