pd_band,predicted_pd,actual_default_rate,count,abs_error,split,model_id
"(-0.001, 0.05]",0.021512218725608667,0.01731174019502556,69837,0.004200478530583106,train,WLOG004
"(0.05, 0.1]",0.07066914756039813,0.07774067629215069,21263,0.007071528731752555,train,WLOG004
"(0.1, 0.2]",0.14310267485228326,0.17185716615033425,6133,0.028754491298050994,train,WLOG004
"(0.2, 0.4]",0.27566591106266053,0.3272271016311167,3985,0.05156119056845615,train,WLOG004
"(0.4, 1.0]",0.6035277901130143,0.5323397913561848,3355,0.07118799875682946,train,WLOG004
"(-0.001, 0.05]",0.02171443179726403,0.018004532609608014,71482,0.003709899187656015,train,WLOG005
"(0.05, 0.1]",0.07374337610971322,0.08061265618702136,19848,0.0068692800773081375,train,WLOG005
"(0.1, 0.2]",0.14897646567219044,0.17694027467262854,6262,0.0279638090004381,train,WLOG005
"(0.2, 0.4]",0.2854443195960442,0.3312533912099837,3686,0.04580907161393949,train,WLOG005
"(0.4, 1.0]",0.6085317351053431,0.543247344461305,3295,0.06528439064403813,train,WLOG005
"(-0.001, 0.05]",0.017474409182428752,0.015265056897030253,72060,0.0022093522853984995,train,XGB001
"(0.05, 0.1]",0.07207278009513197,0.07120762984920737,15518,0.0008651502459246091,train,XGB001
"(0.1, 0.2]",0.13686778052122692,0.14703405125736976,8311,0.010166270736142846,train,XGB001
"(0.2, 0.4]",0.287660058491653,0.30866935483870966,4960,0.021009296347056672,train,XGB001
"(0.4, 1.0]",0.5543054386925365,0.5499462943071965,3724,0.004359144385339908,train,XGB001
"(-0.001, 0.05]",0.017478336748945042,0.015349417637271214,72120,0.002128919111673828,train,XGB002
"(0.05, 0.1]",0.07185257324129823,0.07035830618892508,15350,0.001494267052373155,train,XGB002
"(0.1, 0.2]",0.1369355760319389,0.14687388776841856,8429,0.00993831173647966,train,XGB002
"(0.2, 0.4]",0.28820326964736004,0.30459421169803685,4941,0.016390942050676816,train,XGB002
"(0.4, 1.0]",0.5526499432323766,0.5561210822394856,3733,0.0034711390071090475,train,XGB002
"(-0.001, 0.05]",0.01847012308018759,0.015964275746581078,71660,0.0025058473336065125,train,XGB003
"(0.05, 0.1]",0.07229191568932694,0.07217197373311857,16142,0.00011994195620837478,train,XGB003
"(0.1, 0.2]",0.13651414753474606,0.1515982824427481,8384,0.015084134908002034,train,XGB003
"(0.2, 0.4]",0.2845278092222133,0.3092064793930695,4877,0.024678670170856176,train,XGB003
"(0.4, 1.0]",0.563776465690034,0.5464387464387465,3510,0.017337719251287576,train,XGB003
"(-0.001, 0.05]",0.018754286235164692,0.016023093335564575,71709,0.002731192899600117,train,XGB004
"(0.05, 0.1]",0.07246054635587734,0.07257064947942489,16136,0.00011010312354754748,train,XGB004
"(0.1, 0.2]",0.13621165755815648,0.15173152445555158,8403,0.015519866897395096,train,XGB004
"(0.2, 0.4]",0.28443930297468834,0.3099208003334723,4798,0.025481497358783967,train,XGB004
"(0.4, 1.0]",0.5624410035693345,0.5455060958321519,3527,0.016934907737182536,train,XGB004
"(-0.001, 0.05]",0.017094458188239348,0.016148186570933264,73259,0.0009462716173060833,train,XGBSTACK001
"(0.05, 0.1]",0.07305648936631057,0.07147287890275002,14509,0.0015836104635605502,train,XGBSTACK001
"(0.1, 0.2]",0.13835681286278392,0.13859275053304904,7035,0.0002359376702651128,train,XGBSTACK001
"(0.2, 0.4]",0.27964687514322156,0.2820146170956466,6294,0.002367741952425062,train,XGBSTACK001
