model_id,split,threshold,approval_rate,rejection_rate,approved_bad_rate,rejected_bad_rate,captured_bad_share_rejected,avg_approved_pd,avg_rejected_pd
BLOG001,validation,0.1,0.7251266260570766,0.27487337394292344,0.028155578804849528,0.16949427713288417,0.6953046953046953,0.027206759929433017,0.17257126753685556
BLOG001,validation,0.11,0.8164089519601937,0.18359104803980633,0.03539315094700593,0.2075838599902771,0.5687645687645687,0.035885542268497016,0.2062536002565873
BLOG001,validation,0.12,0.8164089519601937,0.18359104803980633,0.03539315094700593,0.2075838599902771,0.5687645687645687,0.035885542268497016,0.2062536002565873
BLOG001,validation,0.13,0.8164089519601937,0.18359104803980633,0.03539315094700593,0.2075838599902771,0.5687645687645687,0.035885542268497016,0.2062536002565873
BLOG001,validation,0.14,0.8164089519601937,0.18359104803980633,0.03539315094700593,0.2075838599902771,0.5687645687645687,0.035885542268497016,0.2062536002565873
BLOG001,validation,0.15,0.8164089519601937,0.18359104803980633,0.03539315094700593,0.2075838599902771,0.5687645687645687,0.035885542268497016,0.2062536002565873
BLOG001,validation,0.16,0.8164089519601937,0.18359104803980633,0.03539315094700593,0.2075838599902771,0.5687645687645687,0.035885542268497016,0.2062536002565873
BLOG001,validation,0.17,0.8164089519601937,0.18359104803980633,0.03539315094700593,0.2075838599902771,0.5687645687645687,0.035885542268497016,0.2062536002565873
BLOG001,validation,0.18,0.8164089519601937,0.18359104803980633,0.03539315094700593,0.2075838599902771,0.5687645687645687,0.035885542268497016,0.2062536002565873
BLOG001,validation,0.19,0.9776870384006069,0.022312961599393086,0.059520277517858364,0.395,0.13153513153513152,0.060417099821554104,0.36277466609220177
BLOG001,validation,0.2,0.9776870384006069,0.022312961599393086,0.059520277517858364,0.395,0.13153513153513152,0.060417099821554104,0.36277466609220177
BLOG001,validation,0.21,0.9776870384006069,0.022312961599393086,0.059520277517858364,0.395,0.13153513153513152,0.060417099821554104,0.36277466609220177
BLOG001,validation,0.22,0.9776870384006069,0.022312961599393086,0.059520277517858364,0.395,0.13153513153513152,0.060417099821554104,0.36277466609220177
BLOG001,validation,0.23,0.9776870384006069,0.022312961599393086,0.059520277517858364,0.395,0.13153513153513152,0.060417099821554104,0.36277466609220177
