decile,predicted_pd,actual_default_rate,count,split,model_id
0,0.36737036628103736,0.3772231784279977,10458,train,GB003
1,0.11507416578361163,0.12068470880749738,10457,train,GB003
2,0.06576945720530294,0.06483695132447165,10457,train,GB003
3,0.041484537091466,0.040164483121354115,10457,train,GB003
4,0.027571309414508187,0.024768097924835038,10457,train,GB003
5,0.018150547346764277,0.01596863645056416,10458,train,GB003
6,0.013018389849525356,0.011762455771253707,10457,train,GB003
7,0.009996728779521673,0.007650377737400784,10457,train,GB003
8,0.007816453431447486,0.005068859984697781,10456,train,GB003
9,0.005737202567907024,0.001816617267425184,10459,train,GB003
0,0.36574897145277796,0.37511952572193535,10458,train,GB004
1,0.11420539604249809,0.12039781964234485,10457,train,GB004
2,0.06607892223287144,0.06474132160275414,10457,train,GB004
3,0.0418268412717667,0.04207707755570431,10457,train,GB004
4,0.027838248951814654,0.02409868987281247,10457,train,GB004
5,0.018169259529012733,0.017020462803595333,10458,train,GB004
6,0.013137869138356796,0.011188677440948647,10457,train,GB004
7,0.010299658035156275,0.008128526345988334,10457,train,GB004
8,0.008263339055519858,0.0053552644161805486,10457,train,GB004
9,0.006252488607882765,0.0018167909734174794,10458,train,GB004
0,0.22707324254046057,0.260279212086441,10458,train,GNB001
1,0.02174646727808815,0.14373147174141723,10457,train,GNB001
2,0.0035543438491281183,0.08377163622453859,10457,train,GNB001
3,0.0009461557717595722,0.050205603901692646,10457,train,GNB001
4,0.0003921145421117871,0.03385292148799847,10457,train,GNB001
5,0.00020546942059253238,0.02677376171352075,10458,train,GNB001
6,8.955597566399489e-05,0.021707946829874727,10457,train,GNB001
7,3.1822535767864374e-05,0.015874533805106627,10457,train,GNB001
8,8.591493442204067e-06,0.012336234101558765,10457,train,GNB001
9,1.2665659712979654e-06,0.0214190093708166,10458,train,GNB001
0,0.20796862052462287,0.27146681965959074,10458,train,GNB007
1,0.040863550775075155,0.13971502342928183,10457,train,GNB007
2,0.006950734480181761,0.08453667399827866,10457,train,GNB007
3,0.0017651326077030827,0.05192693889260782,10457,train,GNB007
4,0.0006895059825397835,0.03423544037486851,10457,train,GNB007
5,0.00038003468094466335,0.02667814113597246,10458,train,GNB007
6,0.0002724830212960747,0.020656019890982116,10457,train,GNB007
7,0.00019830706016440265,0.017404609352586784,10457,train,GNB007
8,0.00011113988557312587,0.012336234101558765,10457,train,GNB007
9,2.9059238267256884e-05,0.010996366418053165,10458,train,GNB007
0,0.37521049040255555,0.27290112832281505,10458,train,GNB008
1,0.09895100303340033,0.1377067992732141,10457,train,GNB008
2,0.017279531630734823,0.08291096872908099,10457,train,GNB008
3,0.0043743657264059405,0.04944056612795257,10457,train,GNB008
4,0.0017215562530105608,0.03366166204456345,10457,train,GNB008
5,0.0009636353699778391,0.025435073627844713,10458,train,GNB008
6,0.000674849675544554,0.017978387682891842,10457,train,GNB008
7,0.0004342219133059247,0.016448312135411685,10457,train,GNB008
8,0.00020309910916458258,0.011475566606101176,10457,train,GNB008
9,3.060364201443369e-05,0.02199273283610633,10458,train,GNB008
0,0.2099817459763426,0.2741441958309428,10458,train,GNB009
1,0.027252873733877213,0.13818494788180166,10457,train,GNB009
2,0.004255657038635301,0.08128526345988334,10457,train,GNB009
3,0.0010671072817371391,0.04810175002390743,10457,train,GNB009
4,0.000434387675673865,0.03442669981830353,10457,train,GNB009
5,0.0002541028270310052,0.024192006119716964,10458,train,GNB009
6,0.00014562430233845558,0.019125944343501962,10457,train,GNB009
7,6.722461367390621e-05,0.016448312135411685,10457,train,GNB009
8,2.1698862949311775e-05,0.014726977144496509,10457,train,GNB009
9,2.3524224581717364e-06,0.019315356664754254,10458,train,GNB009
0,0.18731763391495657,0.27395295467584624,10458,train,GNB010
1,0.019704896389794127,0.13885435593382423,10457,train,GNB010
2,0.002970768627449739,0.08157215262503587,10457,train,GNB010
3,0.0007407283966749223,0.04791049058047241,10457,train,GNB010
4,0.0003043752825326599,0.0331835134359759,10457,train,GNB010
5,0.00017674144122827688,0.024096385542168676,10458,train,GNB010
6,0.00010041624554594989,0.01941283350865449,10457,train,GNB010
7,4.636703169695919e-05,0.016352682413694176,10457,train,GNB010
8,1.5031304785745501e-05,0.015492014918236588,10457,train,GNB010
9,1.804064206570395e-06,0.019124115509657678,10458,train,GNB010
0,0.38128736578190353,0.37406769936890416,10458,train,LASSOSTACK001
1,0.10039605252312359,0.11093047719231137,10457,train,LASSOSTACK001
2,0.04536797861101661,0.0663670268719518,10457,train,LASSOSTACK001
3,0.028354322882439248,0.043415893659749454,10457,train,LASSOSTACK001
4,0.022657013415362404,0.026680692359185236,10457,train,LASSOSTACK001
5,0.0202700418096794,0.01845477146681966,10458,train,LASSOSTACK001
6,0.019008806215500818,0.012623123266711294,10457,train,LASSOSTACK001
7,0.01828512847844096,0.008702304676293392,10457,train,LASSOSTACK001
8,0.017835316060125506,0.005450894137898059,10457,train,LASSOSTACK001
9,0.01743605378585838,0.003251099636641805,10458,train,LASSOSTACK001
0,0.3692559002912597,0.3869764773379231,10458,train,LGB001
1,0.11651476387700739,0.1200153007554748,10457,train,LGB001
2,0.06495521448512763,0.061489911064358804,10457,train,LGB001
3,0.040720793995285304,0.04064263172994167,10457,train,LGB001
4,0.026778455161382556,0.022379495026778884,10456,train,LGB001
5,0.017849498522465226,0.016158332536571375,10459,train,LGB001
