model_id,split,risk_band,applicant_count,default_count,actual_default_rate,min_pd,mean_pd,max_pd,min_percentile,max_percentile,total_applicants,applicant_pct
GB003,validation,Very High Risk,6723,1113,0.16555109326193662,0.0838870035063865,0.1578145618065293,0.3369855910478562,0.8000089251846397,0.9499966530557601,44817,0.15001004083271974
GB003,validation,Extreme Risk,2241,1089,0.4859437751004016,0.337277443355116,0.4933387486501924,0.8056665606550193,0.9500189660173595,1.0,44817,0.050003346944239906
GB004,train,Low Risk,20914,75,0.0035861145644066174,0.004388548297807,0.00725777285694816,0.0092006535703121,5.2594838055712275e-05,0.19999426238130302,104573,0.19999426238130302
GB004,train,Medium Risk,31372,380,0.012112711972459517,0.0092008345952878,0.01386865424746704,0.0221175710953809,0.20000382507913134,0.49999521865108587,104573,0.30000095626978285
GB004,train,High Risk,31372,1369,0.04363763865867653,0.0221175909007029,0.045247266857325885,0.0837422487300453,0.5000047813489141,0.7999961749208687,104573,0.30000095626978285
GB004,train,Very High Risk,15686,2554,0.16282034935611372,0.0837429301078973,0.15688266605607812,0.3351265831610754,0.800005737618697,0.9499966530557601,104573,0.15000047813489142
GB004,train,Extreme Risk,5229,2628,0.5025817555938038,0.3351583541840681,0.4892688984727314,0.7886631976237263,0.9500062157535885,1.0,104573,0.050003346944239906
GB004,validation,Low Risk,8963,38,0.004239651902264867,0.004388548297807,0.0072641582632968285,0.0092200260847582,6.693888479817926e-05,0.19999107481536024,44817,0.19999107481536024
GB004,validation,Medium Risk,13445,186,0.01383413908516177,0.0092201219638227,0.013892725759650946,0.0221767611842814,0.20001338777695962,0.4999888435192003,44817,0.29999776870384004
GB004,validation,High Risk,13445,578,0.04298995909259948,0.0221791369366956,0.04540128207453557,0.0839296392135997,0.5000111564807997,0.7999866122230403,44817,0.29999776870384004
GB004,validation,Very High Risk,6723,1116,0.16599732262382866,0.0839389978560083,0.1574706505026433,0.3363144745332221,0.8000089251846397,0.9499966530557601,44817,0.15001004083271974
GB004,validation,Extreme Risk,2241,1085,0.48415885765283356,0.3367993332082147,0.48984534305797794,0.782100368786025,0.9500189660173595,1.0,44817,0.050003346944239906
GNB001,train,Low Risk,20914,353,0.01687864588314048,1e-06,4.928280768686551e-06,1.692946736668307e-05,0.03424402092318285,0.19999426238130302,104573,0.19999426238130302
GNB001,train,Medium Risk,31372,673,0.021452250414382253,1.692985665151636e-05,0.00010894403490087264,0.0002789527690892,0.20000382507913134,0.49999521865108587,104573,0.30000095626978285
GNB001,train,High Risk,31372,1755,0.05594160397806962,0.0002789615461309,0.001630828294786168,0.0071917121434256,0.5000047813489141,0.7999961749208687,104573,0.30000095626978285
GNB001,train,Very High Risk,15686,2467,0.15727400229504016,0.0071934542386017,0.045057476681523954,0.1364073501171476,0.800005737618697,0.9499966530557601,104573,0.15000047813489142
GNB001,train,Extreme Risk,5229,1758,0.336201950659782,0.1364330666218558,0.3624714476168904,0.999999,0.9500062157535885,0.9979153318734282,104573,0.050003346944239906
GNB001,validation,Low Risk,8963,143,0.015954479526944104,1e-06,4.983846862123029e-06,1.685665438876374e-05,0.034004953477475064,0.19999107481536024,44817,0.19999107481536024
GNB001,validation,Medium Risk,13445,314,0.02335440684269245,1.6860744041700363e-05,0.00011124942711282891,0.0002826657319686,0.20001338777695962,0.4999888435192003,44817,0.29999776870384004
GNB001,validation,High Risk,13445,733,0.05451840833023429,0.0002826791947347,0.001680902474715778,0.0073942299333707,0.5000111564807997,0.7999866122230403,44817,0.29999776870384004
GNB001,validation,Very High Risk,6723,1066,0.1585601665922951,0.0073954633506986,0.04243853071194339,0.129232142576925,0.8000089251846397,0.9499966530557601,44817,0.15001004083271974
GNB001,validation,Extreme Risk,2241,747,0.3333333333333333,0.1292354390078442,0.3628278383976583,0.999999,0.9500189660173595,0.9977352343976617,44817,0.050003346944239906
GNB007,train,Low Risk,20914,244,0.011666826049536196,1e-06,7.009360737977542e-05,0.0001535881737642,0.0012814015089937173,0.19999426238130302,104573,0.19999426238130302
GNB007,train,Medium Risk,31372,677,0.0215797526456713,0.0001535924965266,0.0002836009513809139,0.0004790838055237,0.20000382507913134,0.49999521865108587,104573,0.30000095626978285
GNB007,train,High Risk,31372,1785,0.056897870712737476,0.0004791209259976,0.003135039695217274,0.0144504715852162,0.5000047813489141,0.7999961749208687,104573,0.30000095626978285
GNB007,train,Very High Risk,15681,2376,0.15152094891907403,0.0144507930431337,0.06297171137412531,0.1244055868704559,0.800005737618697,0.9499488395666186,104573,0.14995266464574986
GNB007,train,Extreme Risk,5234,1924,0.3675964845242644,0.1244121493150862,0.30851864307294763,0.999999,0.9500301224981592,0.9992588909183059,104573,0.05005116043338147
