model_id,split,top_population_share,top_population_count,overall_default_rate,top_group_default_rate,top_group_default_count,default_capture_share,lift_vs_overall
BLOG004,validation,0.21,9411,0.06700582368297744,0.22739347571990223,2140,0.7126207126207126,3.3936374962833358
BLOG004,validation,0.22,9859,0.06700582368297744,0.22101633025661832,2179,0.7256077256077256,3.2984644932104104
BLOG004,validation,0.23,10307,0.06700582368297744,0.21529057921800718,2219,0.7389277389277389,3.2130129499878213
BLOG004,validation,0.24,10756,0.06700582368297744,0.20983637039791744,2257,0.7515817515817516,3.1316139234510376
BLOG004,validation,0.25,11204,0.06700582368297744,0.20492681185290967,2296,0.7645687645687645,3.058343298971646
BLOG004,validation,0.26,11652,0.06700582368297744,0.19979402677651906,2328,0.7752247752247752,2.981741224789628
BLOG004,validation,0.27,12100,0.06700582368297744,0.19413223140495867,2349,0.7822177822177823,2.8972441607978796
BLOG004,validation,0.28,12548,0.06700582368297744,0.18927319094676442,2375,0.7908757908757909,2.8247274720816318
BLOG004,validation,0.29,12996,0.06700582368297744,0.18451831332717758,2398,0.7985347985347986,2.7537653174772285
BLOG004,validation,0.3,13445,0.06700582368297744,0.17954629973968017,2414,0.8038628038628038,2.6795626092018803
BLOG004,validation,0.31,13893,0.06700582368297744,0.17534009933059813,2436,0.8111888111888111,2.6167889549448606
BLOG004,validation,0.32,14341,0.06700582368297744,0.17153615507984102,2460,0.8191808191808192,2.5600186021356093
BLOG004,validation,0.33,14789,0.06700582368297744,0.16796267496111975,2484,0.8271728271728271,2.506687713530637
BLOG004,validation,0.34,15237,0.06700582368297744,0.16505873859683665,2515,0.8374958374958374,2.463349146751391
BLOG004,validation,0.35,15685,0.06700582368297744,0.1622569333758368,2545,0.8474858474858474,2.421534792908717
BLOG004,validation,0.36,16134,0.06700582368297744,0.15854716747241848,2558,0.8518148518148518,2.366169964905554
BLOG004,validation,0.37,16582,0.06700582368297744,0.1549873356651791,2570,0.8558108558108558,2.3130427647373732
BLOG004,validation,0.38,17030,0.06700582368297744,0.15179095713446858,2585,0.8608058608058609,2.265339768862963
BLOG004,validation,0.39,17478,0.06700582368297744,0.1484151504748827,2594,0.8638028638028638,2.2149589739703024
BLOG004,validation,0.4,17926,0.06700582368297744,0.14565435680017852,2611,0.8694638694638694,2.1737566795583083
BLOG004,validation,0.41,18374,0.06700582368297744,0.1428649178186568,2625,0.8741258741258742,2.132126880412501
BLOG004,validation,0.42,18823,0.06700582368297744,0.14036019763055835,2642,0.8797868797868797,2.0947462461567543
BLOG004,validation,0.43,19271,0.06700582368297744,0.13803123864874683,2660,0.8857808857808858,2.0599886854881406
BLOG004,validation,0.44,19719,0.06700582368297744,0.13631522896698617,2688,0.8951048951048951,2.0343788267110954
BLOG004,validation,0.45,20167,0.06700582368297744,0.1339316705509,2701,0.8994338994338994,1.998806419939955
