model_id,split,count,mean,std,min,max,p01,p05,p25,p50,p75,p95,p99
RF003,train,104573,0.06695698581832107,0.10388455267596511,0.0036414989767769,0.6997892766039832,0.00424322088740998,0.0053918913188933,0.0113766454013906,0.0237145842739609,0.075390963623761,0.3109369759525666,0.5255075152159601
RF003,validation,44817,0.06711117306110614,0.10386012827704943,0.0035727347134302,0.692006313302646,0.00423558001862904,0.005374393362014561,0.0113408823319326,0.0237824089831262,0.0761556105696042,0.31282924937211615,0.5244777622600943
RF004,train,104573,0.06698115893580335,0.09716143175382204,0.0069237915152571,0.6180979778803518,0.007473840938047235,0.00827387256372616,0.0153792502959944,0.0246027420295823,0.0801815346121019,0.2912765628125809,0.494189330734984
RF004,validation,44817,0.0671490497726614,0.09723896421388976,0.0069140892062733,0.6124580990834176,0.007448857268477343,0.00828390406332998,0.015340338112488,0.0246070720150996,0.081215162207732,0.2914317348132129,0.49426849622238006
RF005,train,104573,0.32977443944088186,0.24565473824537692,0.0739063243222762,0.9746871248393806,0.0750184381858468,0.07996703214779663,0.1329675535244328,0.2242978581734006,0.5127005733975009,0.8496205302425291,0.9406912702027088
RF005,validation,44817,0.32995281198497145,0.24566118576579113,0.0736417314974496,0.9731008448149708,0.074995741381993,0.07997033725035846,0.1324593406402548,0.2248560701428703,0.5143076042867092,0.8497189522856193,0.9404939730912665
RFSTACK001,train,104573,0.06702222113821182,0.11284544183522806,0.0127161897910119,0.6971303514781942,0.0127161897910119,0.0127161897910119,0.0127161897910119,0.0167985923022365,0.0659740725315179,0.3224938945711957,0.5981829785867464
RFSTACK001,validation,44817,0.0672072562843781,0.1129236164561925,0.0127161897910119,0.6966835293086553,0.0127161897910119,0.0127161897910119,0.0127161897910119,0.0168135492315118,0.0662097701463449,0.32519894460549004,0.5947740414334756
RIDGESTACK001,train,104573,0.06738446574313739,0.11878763141955682,0.015730400611987,0.9098519318487526,0.01785303149569757,0.01803854691857628,0.018861614527404,0.0217759505928953,0.0453100848104181,0.32576626637266476,0.6374929635206532
RIDGESTACK001,validation,44817,0.0674672088517869,0.11861760275617013,0.0157747715780453,0.8956610300437653,0.01785584184701792,0.018041534774579298,0.0188698229964124,0.0217372355761455,0.0451752786240662,0.32790900286209546,0.6293300056444111
RLOG001,train,104573,0.06795252283010604,0.08032633819805522,1e-06,0.9101717734028216,0.008998521384903684,0.01222905570883042,0.0199063545045343,0.0312015056985676,0.0857383131101447,0.22252608757826842,0.33675685424637036
RLOG001,validation,44817,0.06805590764160878,0.08046309488290387,2.6105522857526767e-05,0.7997261819604549,0.008942807665395047,0.01219841794388558,0.0198285108515218,0.0312669568958204,0.0866262092401414,0.22229804084907476,0.3344090719611705
RLOG002,train,104573,0.06709213848787253,0.08754279991561588,1e-06,0.9880892671115944,0.007245375257205788,0.01024079917835618,0.0178238804342613,0.0295550723761441,0.0813369401155225,0.2290241673016057,0.4102644579336471
RLOG002,validation,44817,0.06723983633306879,0.08713926516263044,1e-06,0.8639135436032547,0.007184213268745584,0.01018563769569434,0.0177266309167003,0.0296272817012165,0.0820763674049047,0.2282283479909618,0.4095771361525685
RLOG003,train,104573,0.06700558614838568,0.0885271061356968,1e-06,0.9904896787035136,0.0066937913078788285,0.00977192062107696,0.0176022915763535,0.029414615023788,0.0806250231098731,0.22959857472613032,0.41968402102027846
RLOG003,validation,44817,0.0671767076955488,0.08808676601973962,1e-06,0.8850370195586597,0.006618619961893272,0.00971433200580594,0.0175274351673856,0.0295000732694055,0.0815199051139862,0.2297430630665459,0.4193038622992666
