split,score_col_1,score_col_2,correlation
train,BLOG005,WGNB003,0.7745447544489976
train,BLOG005,WGNB004,0.7745447546005958
train,BLOG005,WGNB005,0.7745447561165537
train,BLOG005,WGNB006,0.7745447712763004
train,BLOG005,WGNB007,0.7745449228817693
train,BLOG005,WGNB008,0.7745464397459576
train,BLOG005,WGNB009,0.7745616889111959
train,BLOG005,WGNB010,0.7747215453026375
train,BLOG005,WGNB011,0.8102163244999668
train,BLOG005,WGNB012,0.7721541778247404
train,BLOG005,WGNB013,0.7731926062875673
train,BLOG005,WGNB014,0.7741056491114632
train,BLOG005,WLOG001,0.6399817213510911
train,BLOG005,WLOG002,0.8883275386115148
train,BLOG005,WLOG003,0.9617418462800567
train,BLOG005,WLOG004,0.9893426381145509
train,BLOG005,WLOG005,0.9958645446278611
train,BLOG005,XGB001,0.9529378557417992
train,BLOG005,XGB002,0.9516316697870535
train,BLOG005,XGB003,0.9710160213627912
train,BLOG005,XGB004,0.973041387687824
train,BLOG005,XGBSTACK001,0.937015828088689
train,BNB001,BLOG001,0.5463271613441173
train,BNB001,BLOG002,0.7617002299915621
train,BNB001,BLOG003,0.8344702610249444
train,BNB001,BLOG004,0.8672826998954912
train,BNB001,BLOG005,0.8755087977090024
train,BNB001,BNB001,1.0
train,BNB001,BNB002,0.8587224078937514
train,BNB001,BNB003,0.9999999998108673
train,BNB001,BNB004,0.8587275515300385
train,BNB001,BNB005,0.9999999990426707
train,BNB001,BNB006,0.8587339812430907
train,BNB001,BNB007,0.9999999931946673
train,BNB001,BNB008,0.8587532714994522
train,BNB001,BNB009,0.9999999716495876
train,BNB001,BNB010,0.858785425643717
train,BNB001,BNB011,0.9999998844102138
train,BNB001,BNB012,0.8588497478195909
train,BNB001,BNB013,0.9999995340650496
train,BNB001,BNB014,0.8589784473198182
train,BNB001,BNB015,0.9999970907769928
train,BNB001,BNB016,0.85936497871927
train,BNB001,BNB017,0.9999884712208653
train,BNB001,BNB018,0.8600105849692194
train,BNB001,CAT001,0.9096594978327415
train,BNB001,CAT002,0.9083857415435017
train,BNB001,CAT003,0.9124120792978702
train,BNB001,CAT004,0.913207859573196
train,BNB001,EASTACK001,0.9410906738933421
train,BNB001,ET001,0.7177854957012638
train,BNB001,ET002,0.7712801592858882
train,BNB001,ET003,0.813152350715823
train,BNB001,ET004,0.6780258347298852
train,BNB001,ET005,0.6471392563948446
train,BNB001,GB001,0.9118582615872668
train,BNB001,GB002,0.9062020774706361
train,BNB001,GB003,0.9117634731318186
train,BNB001,GB004,0.9136067470503726
train,BNB001,GNB001,0.43763760098709614
train,BNB001,GNB007,0.46862209225157625
