model_id,model_family,validation_auc,validation_ks,validation_log_loss,validation_brier_score,auc_gap,feature_count,selection_score,model_artifact_available,model_artifact_path,governance_flag,governance_checks
WGNB004,naive_bayes,0.8522612772505153,0.5640505999954989,0.817382115939336,0.09283508019541134,-0.004303722147241951,12,0.6888731979661714,True,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/WGNB004.joblib,acceptable_with_supporting_diagnostics,Naive Bayes model; review class-separation behavior and probability calibration.
WGNB005,naive_bayes,0.8522612772505153,0.5640505999954989,0.8173821074723937,0.09283507991876272,-0.004303722147241951,12,0.6888732007840487,True,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/WGNB005.joblib,acceptable_with_supporting_diagnostics,Naive Bayes model; review class-separation behavior and probability calibration.
WGNB006,naive_bayes,0.8522612772505153,0.5640505999954989,0.8173820212204657,0.09283507715228174,-0.004303722147241951,12,0.6888732294563965,True,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/WGNB006.joblib,acceptable_with_supporting_diagnostics,Naive Bayes model; review class-separation behavior and probability calibration.
WGNB007,naive_bayes,0.852261747117537,0.5640505999954989,0.8173811316160339,0.0928350494879978,-0.004303642679786668,12,0.6888747763764942,True,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/WGNB007.joblib,acceptable_with_supporting_diagnostics,Naive Bayes model; review class-separation behavior and probability calibration.
WGNB008,naive_bayes,0.8522632841401675,0.5640266845604771,0.8173724416908079,0.09283477289771305,-0.004303151334234756,12,0.6888610981248725,True,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/WGNB008.joblib,acceptable_with_supporting_diagnostics,Naive Bayes model; review class-separation behavior and probability calibration.
WGNB009,naive_bayes,0.8522961270486022,0.5640266845604771,0.8172826473300456,0.0928320122072513,-0.004308896180034161,12,0.6889435898230388,True,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/WGNB009.joblib,acceptable_with_supporting_diagnostics,Naive Bayes model; review class-separation behavior and probability calibration.
WGNB010,naive_bayes,0.85254792002532,0.5640745154305207,0.8164240898970668,0.09280487000512805,-0.004322269947508062,12,0.6897700498577294,True,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/WGNB010.joblib,acceptable_with_supporting_diagnostics,Naive Bayes model; review class-separation behavior and probability calibration.
WGNB011,naive_bayes,0.8460581804318352,0.5496786181245932,0.5598474233750188,0.0793698312352022,-0.006204460200800788,3,0.7562904874546061,True,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/WGNB011.joblib,acceptable_with_supporting_diagnostics,Naive Bayes model; review class-separation behavior and probability calibration.
WGNB012,naive_bayes,0.8548372714321918,0.5689644215257645,0.8091953426208764,0.09280193458077161,-0.003828063097081169,5,0.7109643628046594,True,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/WGNB012.joblib,acceptable_with_supporting_diagnostics,Naive Bayes model; review class-separation behavior and probability calibration.
WGNB013,naive_bayes,0.8554616848848446,0.5740493781819653,0.8120364355322364,0.0925648152346307,-0.0037371113958131197,8,0.712904266055725,True,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/WGNB013.joblib,acceptable_with_supporting_diagnostics,Naive Bayes model; review class-separation behavior and probability calibration.
WGNB014,naive_bayes,0.855342370516714,0.5741329508010524,0.8140416568432034,0.09256103280984629,-0.004588980152328559,10,0.7071527796414203,True,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/WGNB014.joblib,acceptable_with_supporting_diagnostics,Naive Bayes model; review class-separation behavior and probability calibration.
NN001,neural_network,0.8631026066454394,0.5706951966099619,0.17874912596090772,0.04921223003017215,-0.0027281510362719974,17,0.9441926141983261,True,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/NN001.joblib,acceptable_with_supporting_diagnostics,Neural network model; require model-agnostic interpretability before governance approval.
NN002,neural_network,0.8599075746083925,0.5674417178937196,0.1802495931470745,0.04955674500379781,-0.001899834794290789,17,0.9362973272817019,True,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/NN002.joblib,acceptable_with_supporting_diagnostics,Neural network model; require model-agnostic interpretability before governance approval.
NN003,neural_network,0.8638150524719618,0.5793117056569489,0.178286842895166,0.04917862843708768,0.001396109609033691,17,0.9576854499252053,True,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/NN003.joblib,acceptable_with_supporting_diagnostics,Neural network model; require model-agnostic interpretability before governance approval.
NN004,neural_network,0.8600319022187296,0.5665438736898056,0.17960770909265517,0.04937330158959893,-0.0022428926177059383,10,0.9431627486551752,True,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/NN004.joblib,acceptable_with_supporting_diagnostics,Neural network model; require model-agnostic interpretability before governance approval.
NN005,neural_network,0.8400924779530031,0.5231124641370014,0.18846513300738557,0.05111003432553433,-0.0032162178832156885,17,0.8465995357589563,True,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/NN005.joblib,acceptable_with_supporting_diagnostics,Neural network model; require model-agnostic interpretability before governance approval.
NN006,neural_network,0.8630927474018305,0.5721579324678765,0.1786934004757243,0.04919820356326746,-0.002827948024531013,17,0.9451978922055586,True,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/NN006.joblib,acceptable_with_supporting_diagnostics,Neural network model; require model-agnostic interpretability before governance approval.
NN007,neural_network,0.864850583640941,0.5759607494433151,0.1777348013987298,0.04904369790194643,0.0008729414633563692,17,0.9587791981273184,True,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/NN007.joblib,acceptable_with_supporting_diagnostics,Neural network model; require model-agnostic interpretability before governance approval.
NN008,neural_network,0.8657406392016809,0.5786644837441222,0.1784312682669342,0.04929249495133473,-0.0007716890053802716,17,0.9630384625262081,True,/Users/sumanchattopadhyay/Documents/Documents - Suman’s MacBook Air/Projects/credit-risk-mlops-lab/outputs_src/models/NN008.joblib,acceptable_with_supporting_diagnostics,Neural network model; require model-agnostic interpretability before governance approval.
